strength,ccs_value,gs_value,prompt_length,negative_prompt_length,error_correction_level,qr_version,image_resolution,num_iterations,seed_value,is_scannable,generated_date,sample_id
0.3745401188473625,1.090453280416163,10.604612277000477,28,5,H,39,256,85,1788,0,2025-10-08,1
0.9507143064099162,1.210153489062532,9.993681443471049,22,13,H,28,256,65,1952,0,2025-10-08,2
0.7319939418114051,1.7818210898032705,7.642308687542901,13,16,M,17,1024,34,9143,0,2025-10-08,3
0.5986584841970366,1.0100065790898383,14.109000051522319,16,10,M,6,512,35,3420,0,2025-10-08,4
0.15601864044243652,1.804474527218257,12.149362407629432,13,11,H,20,1024,91,3027,0,2025-10-08,5
0.15599452033620265,0.6322016464650373,17.985514884860056,4,18,L,13,1024,35,3101,0,2025-10-08,6
0.05808361216819946,1.6651976558129462,5.481643707230874,4,16,M,12,512,58,5873,0,2025-10-08,7
0.8661761457749352,1.7713214495821046,14.658018913326895,11,5,H,30,1024,30,3588,1,2025-10-08,8
0.6011150117432088,0.7727264792560081,16.444233177673418,23,12,L,21,768,55,3845,0,2025-10-08,9
0.7080725777960455,1.1455197985583006,16.392298537824605,14,16,H,2,512,37,5737,0,2025-10-08,10
0.020584494295802447,0.7482496619954835,18.291109506432875,3,16,M,18,768,42,9339,1,2025-10-08,11
0.9699098521619943,1.5599061934913268,15.935506142442412,27,16,Q,28,768,96,1417,0,2025-10-08,12
0.8324426408004217,1.303021652092485,18.917150924715443,19,16,Q,4,256,68,3909,0,2025-10-08,13
0.21233911067827616,1.4529850200624814,9.989848997313372,22,16,M,6,256,61,4745,0,2025-10-08,14
0.18182496720710062,0.7947304504343167,12.548141251273146,25,9,L,38,512,63,2772,0,2025-10-08,15
0.18340450985343382,0.8176187930786293,5.21119494924336,1,9,H,9,1024,20,5175,0,2025-10-08,16
0.3042422429595377,0.5622459882648596,5.104363809549368,5,18,M,20,768,26,6275,0,2025-10-08,17
0.5247564316322378,0.9831013027935946,8.601899306772799,17,10,L,30,1024,67,2249,0,2025-10-08,18
0.43194501864211576,1.3396169920005123,6.512107957086279,1,11,H,37,768,35,3858,1,2025-10-08,19
0.2912291401980419,1.7869023709959932,8.903170519036305,19,11,H,38,256,67,1625,0,2025-10-08,20
0.6118528947223795,1.5003911711880211,7.655649417925961,19,9,M,4,256,97,2749,1,2025-10-08,21
0.13949386065204183,1.1530944850996272,5.427800372579724,4,5,H,38,256,62,2605,0,2025-10-08,22
0.29214464853521815,1.9296801715912066,18.639562196090743,19,15,Q,13,512,70,1847,0,2025-10-08,23
0.3663618432936917,1.5788678008637478,5.1233469708333725,6,13,Q,35,768,85,7207,0,2025-10-08,24
0.45606998421703593,1.895247804293825,16.04123216505628,28,19,H,30,1024,50,8770,0,2025-10-08,25
0.7851759613930136,1.2913819599082486,7.282218303792748,15,10,M,4,768,58,1136,0,2025-10-08,26
0.19967378215835974,0.8883564121897094,18.683444329994,4,17,H,25,1024,28,3133,0,2025-10-08,27
0.5142344384136116,0.579240029547083,18.391939093848286,24,13,M,31,1024,60,1157,1,2025-10-08,28
0.5924145688620425,1.5891272772257756,14.80851719553886,1,15,M,12,1024,82,7452,0,2025-10-08,29
0.046450412719997725,0.6819544970083011,15.083512247009077,24,8,Q,15,768,33,9841,0,2025-10-08,30
0.6075448519014384,0.9541626924079507,5.080087129545328,27,6,Q,26,256,77,7275,1,2025-10-08,31
0.17052412368729153,1.298706361825846,19.773073491704032,17,17,L,10,512,93,5413,0,2025-10-08,32
0.06505159298527952,1.3466248816696216,18.167489053637215,11,17,M,12,512,83,4372,0,2025-10-08,33
0.9488855372533332,1.400874795480704,18.426593385951378,17,7,H,22,256,47,5611,0,2025-10-08,34
0.9656320330745594,0.749382995524551,14.888668055763079,23,16,M,40,512,23,1586,0,2025-10-08,35
0.8083973481164611,1.0696061072324732,10.171803929818047,1,8,Q,21,1024,53,2323,0,2025-10-08,36
0.3046137691733707,1.42579134067545,18.40472973635721,9,14,M,35,512,23,233,0,2025-10-08,37
0.09767211400638387,1.9547282969506772,9.372753922267886,14,16,L,7,768,89,9457,0,2025-10-08,38
0.6842330265121569,1.591446706549533,13.440673150133042,15,12,H,18,256,77,7916,1,2025-10-08,39
0.4401524937396013,1.8839056356409367,6.4959645851582355,24,7,M,27,256,23,31,0,2025-10-08,40
0.12203823484477883,1.6433180874712656,18.82933445199125,29,12,H,35,256,69,9563,1,2025-10-08,41
0.4951769101112702,1.3875754533386007,7.1115568665682005,1,10,H,2,256,24,8951,0,2025-10-08,42
0.034388521115218396,0.7880350537045169,8.37345208595611,2,8,Q,32,768,94,3203,0,2025-10-08,43
0.9093204020787821,1.5000284778387696,13.372012371923224,18,18,M,15,1024,64,5894,1,2025-10-08,44
0.2587799816000169,1.4350693489398605,16.461395003194724,18,11,H,24,1024,54,1794,0,2025-10-08,45
0.662522284353982,1.4037037556858998,14.290269589044485,6,19,Q,20,1024,94,761,1,2025-10-08,46
0.31171107608941095,1.2346788019823611,8.482008692002342,20,18,L,10,512,94,4080,0,2025-10-08,47
0.5200680211778108,1.2929849059839134,5.014145637912355,8,15,L,24,1024,46,281,0,2025-10-08,48
0.5467102793432796,1.0016637906771562,16.35725870461159,1,17,M,24,512,21,4071,0,2025-10-08,49
0.18485445552552704,1.2789690389634547,19.778109888666407,15,9,H,24,768,73,4625,0,2025-10-08,50
0.9695846277645586,0.7963338585177173,17.148696804591356,10,9,M,40,512,91,5978,0,2025-10-08,51
0.7751328233611146,1.7077615960405652,11.90309927234923,4,13,H,34,1024,98,9007,1,2025-10-08,52
0.9394989415641891,0.7786654320480617,18.556508920986598,10,17,Q,40,256,67,4559,0,2025-10-08,53
0.8948273504276488,0.6274494348341997,11.14771509677525,11,7,L,11,768,96,1470,0,2025-10-08,54
0.5978999788110851,1.154369039535736,12.874011263652013,5,14,L,26,1024,68,3287,0,2025-10-08,55
0.9218742350231168,1.4874611592590927,12.15694651093525,9,19,L,1,1024,97,4259,0,2025-10-08,56
0.0884925020519195,1.156575237400312,11.714358089982873,5,8,L,30,1024,20,5706,0,2025-10-08,57
0.1959828624191452,0.915131197926963,16.627861539408585,29,9,M,18,768,52,510,0,2025-10-08,58
0.045227288910538066,1.337256775835661,12.90153360904238,11,5,H,26,256,54,7961,1,2025-10-08,59
0.32533033076326434,1.0205035031182998,9.75075683037824,3,11,M,9,256,73,8746,1,2025-10-08,60
0.388677289689482,1.8993015351899496,8.872372514877174,27,12,Q,9,256,75,6784,0,2025-10-08,61
0.2713490317738959,1.8839677094053582,5.566209754511501,4,19,L,1,1024,34,9498,0,2025-10-08,62
0.8287375091519293,1.253557729958143,13.74792742824569,10,10,H,7,512,88,5493,0,2025-10-08,63
0.3567533266935893,0.9918259910273878,8.449421231015513,7,13,M,16,1024,23,258,0,2025-10-08,64
0.28093450968738076,1.6056986209349586,7.222008830245747,1,7,H,38,256,83,6588,1,2025-10-08,65
0.5426960831582485,0.5550694152246,14.807449457415165,27,6,M,11,768,41,9416,0,2025-10-08,66
0.14092422497476265,1.212153509065477,15.218138867323233,6,9,H,25,512,43,1665,0,2025-10-08,67
0.8021969807540397,1.0044850914055004,16.28232338386499,8,17,H,29,512,66,9595,0,2025-10-08,68
0.07455064367977082,1.880803827653832,12.553653445078872,17,13,L,19,1024,94,1865,0,2025-10-08,69
0.9868869366005173,0.5180045409090238,18.4108190780583,24,15,M,18,768,25,765,0,2025-10-08,70
0.7722447692966574,1.3292223135775236,19.04514130097342,7,5,Q,29,512,46,8256,1,2025-10-08,71
0.1987156815341724,1.610995371599939,17.11056409688734,1,5,H,16,256,29,3449,1,2025-10-08,72
0.005522117123602399,1.2275269812860619,14.53390223012281,9,14,Q,40,1024,58,2705,1,2025-10-08,73
0.8154614284548342,0.6281045452440825,9.55581430386783,11,7,L,8,1024,93,5765,0,2025-10-08,74
0.7068573438476171,1.9586920850418532,19.744173824303317,19,14,Q,34,256,56,4974,0,2025-10-08,75
0.7290071680409873,1.277015647064147,9.112042507879075,2,7,H,6,256,73,195,0,2025-10-08,76
