strength,ccs_value,gs_value,prompt_length,negative_prompt_length,error_correction_level,qr_version,image_resolution,num_iterations,seed_value,is_scannable,generated_date,sample_id
0.7974260216069281,1.2683908458143907,12.03923417180362,5,15,H,15,256,45,742,1,2025-10-08,1147
0.07928028463119174,1.3232626333902107,5.189639021000278,5,12,H,9,768,43,9650,1,2025-10-08,4292
0.016947664889580993,1.0329344648289782,15.8244445400705,20,15,L,19,512,61,9757,0,2025-10-08,2704
0.3509150125520787,1.5219231657986507,6.553648491545225,16,19,M,10,512,37,7166,0,2025-10-08,429
0.5247564316322378,0.9831013027935946,8.601899306772799,17,10,L,30,1024,67,2249,0,2025-10-08,18
0.4674015112498697,1.1866469190562012,10.880443022053868,25,9,M,9,1024,28,7883,0,2025-10-08,1086
0.3024195112785364,1.0821821851527456,17.890403371292322,2,16,Q,30,256,50,1487,0,2025-10-08,3549
0.8178342161750216,1.3887402187646076,14.051263677084249,25,7,L,27,768,59,692,0,2025-10-08,1481
0.6242379959139921,1.530017917586194,5.23049376102085,21,18,L,35,256,76,5225,1,2025-10-08,750
0.7502657639388423,1.5113294486710953,7.7223068728804805,7,6,Q,4,768,25,3219,0,2025-10-08,3631
0.6226895409497974,1.13988785158159,6.83080650621974,28,11,Q,18,512,21,283,0,2025-10-08,3714
0.28888493890916567,1.8148407361830763,11.262842091612956,7,17,L,18,768,89,7524,0,2025-10-08,2834
0.16574977982015593,1.7049568602770502,18.866451376763933,4,6,Q,5,512,83,5352,1,2025-10-08,2778
0.13252467274184843,1.5411974809643554,19.21403752411583,24,19,L,16,768,62,2155,1,2025-10-08,1685
0.5230978441701488,0.9561419539569258,10.33155021086797,25,16,L,4,768,61,7023,1,2025-10-08,480
0.5971553059903019,1.1939289079005944,10.89125275308065,16,8,M,12,512,25,7333,1,2025-10-08,3339
0.11995294173096982,0.7373611127228941,18.18908961774364,22,13,L,20,768,56,131,0,2025-10-08,4631
0.020584494295802447,0.7482496619954835,18.291109506432875,3,16,M,18,768,42,9339,1,2025-10-08,11
0.566605258905463,0.8459579603213959,13.53153653784316,22,9,M,23,256,87,7765,1,2025-10-08,3778
0.6971358058918092,1.9352220058863168,19.85847819135102,17,14,M,24,512,69,7190,1,2025-10-08,3459
0.6542925523249619,1.2756768962853793,19.934130672716392,19,5,L,35,1024,87,1616,0,2025-10-08,2115
0.3042422429595377,0.5622459882648596,5.104363809549368,5,18,M,20,768,26,6275,0,2025-10-08,17
0.9252483174156658,1.630213408169721,18.86116707941404,17,9,Q,36,256,29,5409,0,2025-10-08,1016
0.7022587660316643,1.0438748188920157,9.708190602256474,17,7,H,1,768,63,7265,0,2025-10-08,2314
0.8742225246851758,1.289892413884684,15.195126967109523,23,8,Q,30,512,29,5405,0,2025-10-08,2312
0.6636711653626481,1.6869660714690002,10.860761633819362,9,13,Q,5,768,90,1018,1,2025-10-08,971
0.6415044812562517,0.8801856945095243,8.982098374964734,28,9,L,8,256,49,3557,0,2025-10-08,4015
0.16988707321905727,1.232502369506502,16.600883369431585,16,12,H,3,1024,55,6243,0,2025-10-08,4399
0.5371065418185478,1.5128462563430563,17.40423537626166,14,9,H,25,1024,52,5817,1,2025-10-08,652
0.03757109039890738,1.82739012026745,5.164488740846709,17,16,H,17,768,68,7594,1,2025-10-08,2900
0.6237430848640091,0.8804637115120633,8.301941312536462,15,19,M,30,1024,30,5203,1,2025-10-08,3422
0.03892996332566745,0.8470230698002257,14.367770230465208,11,19,M,35,512,32,6587,1,2025-10-08,2858
0.23693332490664865,1.4093249633311489,12.684271145753197,6,18,M,5,1024,94,6684,0,2025-10-08,3684
